OBJECTID,Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Recovered,Deaths,Active,County,State/County FIPS Code,Combined Key
0,South Carolina,US,4/1/2020 21:58,34.22333378,-82.46170658,4,0,0,0,Abbeville,45001,"Abbeville, South Carolina, US"
1,Louisiana,US,4/1/2020 21:58,30.2950649,-92.41419698,47,0,1,0,Acadia,22001,"Acadia, Louisiana, US"
2,Virginia,US,4/1/2020 21:58,37.76707161,-75.63234615,7,0,0,0,Accomack,51001,"Accomack, Virginia, US"
3,Idaho,US,4/1/2020 21:58,43.4526575,-116.24155159999998,195,0,3,0,Ada,16001,"Ada, Idaho, US"
4,Iowa,US,4/1/2020 21:58,41.33075609,-94.47105874,1,0,0,0,Adair,19001,"Adair, Iowa, US"
5,Missouri,US,4/1/2020 21:58,40.19058551,-92.60078167,3,0,0,0,Adair,29001,"Adair, Missouri, US"
6,Oklahoma,US,4/1/2020 21:58,35.88494195,-94.65859267,8,0,0,0,Adair,40001,"Adair, Oklahoma, US"
7,Colorado,US,4/1/2020 21:58,39.87432092,-104.3362578,181,0,2,0,Adams,8001,"Adams, Colorado, US"
8,Illinois,US,4/1/2020 21:58,39.98815591,-91.18786813,2,0,0,0,Adams,17001,"Adams, Illinois, US"
9,Indiana,US,4/1/2020 21:58,40.7457653,-84.93671406,1,0,0,0,Adams,18001,"Adams, Indiana, US"
10,Mississippi,US,4/1/2020 21:58,31.47669768,-91.35326037,11,0,0,0,Adams,28001,"Adams, Mississippi, US"
11,Nebraska,US,4/1/2020 21:58,40.52449420000001,-98.50117804,4,0,0,0,Adams,31001,"Adams, Nebraska, US"
12,Pennsylvania,US,4/1/2020 21:58,39.87140411,-77.21610347,12,0,0,0,Adams,42001,"Adams, Pennsylvania, US"
13,Washington,US,4/1/2020 21:58,46.98299757,-118.5601734,14,0,0,0,Adams,53001,"Adams, Washington, US"
14,Vermont,US,4/1/2020 21:58,44.03217337,-73.14130877,24,0,0,0,Addison,50001,"Addison, Vermont, US"
15,South Carolina,US,4/1/2020 21:58,33.54338026,-81.63645384,18,0,1,0,Aiken,45003,"Aiken, South Carolina, US"
16,Florida,US,4/1/2020 21:58,29.67866525,-82.35928158,90,0,0,0,Alachua,12001,"Alachua, Florida, US"
17,North Carolina,US,4/1/2020 21:58,36.0434701,-79.39976137,7,0,0,0,Alamance,37001,"Alamance, North Carolina, US"
18,California,US,4/1/2020 21:58,37.64629437,-121.8929271,313,0,7,0,Alameda,6001,"Alameda, California, US"
19,Colorado,US,4/1/2020 21:58,37.57250606,-105.7885451,1,0,0,0,Alamosa,8003,"Alamosa, Colorado, US"
20,New York,US,4/1/2020 21:58,42.60060306,-73.97723916,240,0,1,0,Albany,36001,"Albany, New York, US"
21,Wyoming,US,4/1/2020 21:58,41.65498705,-105.7235415,3,0,0,0,Albany,56001,"Albany, Wyoming, US"
22,Virginia,US,4/1/2020 21:58,38.02080697,-78.55481085,21,0,0,0,Albemarle,51003,"Albemarle, Virginia, US"
23,Mississippi,US,4/1/2020 21:58,34.88084463,-88.57996173,3,0,0,0,Alcorn,28003,"Alcorn, Mississippi, US"
24,North Carolina,US,4/1/2020 21:58,35.922379600000006,-81.17751948,2,0,0,0,Alexander,37003,"Alexander, North Carolina, US"
25,Virginia,US,4/1/2020 21:58,38.814003,-77.08183073,32,0,0,0,Alexandria,51510,"Alexandria, Virginia, US"
26,Iowa,US,4/1/2020 21:58,43.28383218,-91.37860922,7,0,1,0,Allamakee,19005,"Allamakee, Iowa, US"
27,Michigan,US,4/1/2020 21:58,42.59147037,-85.89102866,5,0,0,0,Allegan,26005,"Allegan, Michigan, US"
28,New York,US,4/1/2020 21:58,42.25748406,-78.02750466,10,0,1,0,Allegany,36003,"Allegany, New York, US"
29,North Carolina,US,4/1/2020 21:58,36.49360862,-81.12857041,2,0,0,0,Alleghany,37005,"Alleghany, North Carolina, US"
30,Virginia,US,4/1/2020 21:58,37.78636074,-80.00222498,1,0,0,0,Alleghany,51005,"Alleghany, Virginia, US"
31,Pennsylvania,US,4/1/2020 21:58,40.46809875,-79.98167747,356,0,2,0,Allegheny,42003,"Allegheny, Pennsylvania, US"
32,Indiana,US,4/1/2020 21:58,41.09194313,-85.06800636,39,0,2,0,Allen,18003,"Allen, Indiana, US"
33,Kentucky,US,4/1/2020 21:58,36.75197631,-86.19457544,2,0,0,0,Allen,21003,"Allen, Kentucky, US"
34,Louisiana,US,4/1/2020 21:58,30.65385745,-92.82442028,19,0,0,0,Allen,22003,"Allen, Louisiana, US"
35,Ohio,US,4/1/2020 21:58,40.77285242,-84.10802343,6,0,0,0,Allen,39003,"Allen, Ohio, US"
36,South Carolina,US,4/1/2020 21:58,32.98837386,-81.35321066,1,0,0,0,Allendale,45005,"Allendale, South Carolina, US"
37,California,US,4/1/2020 21:58,38.59678594,-119.8223594,1,0,0,0,Alpine,6003,"Alpine, California, US"
38,California,US,4/1/2020 21:58,38.44583082,-120.65696,2,0,0,0,Amador,6005,"Amador, California, US"
39,Virginia,US,4/1/2020 21:58,37.34081025,-77.98584649,2,0,0,0,Amelia,51007,"Amelia, Virginia, US"
40,Virginia,US,4/1/2020 21:58,37.60308293,-79.14548696,5,0,0,0,Amherst,51009,"Amherst, Virginia, US"
41,Mississippi,US,4/1/2020 21:58,31.17467303,-90.80501621,4,0,1,0,Amite,28005,"Amite, Mississippi, US"
42,Alaska,US,4/1/2020 21:58,61.14998174,-149.14269860000005,65,0,1,0,Anchorage,2020,"Anchorage,Alaska,US"
43,Kentucky,US,4/1/2020 21:58,38.00671029,-84.99171713,2,0,1,0,Anderson,21005,"Anderson, Kentucky, US"
44,South Carolina,US,4/1/2020 21:58,34.51828081,-82.63959517,47,0,2,0,Anderson,45007,"Anderson, South Carolina, US"
45,Tennessee,US,4/1/2020 21:58,36.12684348,-84.19965764,10,0,0,0,Anderson,47001,"Anderson, Tennessee, US"
46,Texas,US,4/1/2020 21:58,31.81534745,-95.65354823,1,0,0,0,Anderson,48001,"Anderson, Texas, US"
47,Texas,US,4/1/2020 21:58,32.30468633,-102.6376548,0,0,0,0,Andrews,48003,"Andrews, Texas, US"
48,Maine,US,4/1/2020 21:58,44.1664747,-70.20380627,11,0,0,0,Androscoggin,23001,"Androscoggin, Maine, US"
