fips,state,country,aggregate_level,can_location_page_url
01,AL,USA,state,https://covidactnow.org/us/alabama-al
01001,AL,USA,county,https://covidactnow.org/us/alabama-al/county/autauga_county
01003,AL,USA,county,https://covidactnow.org/us/alabama-al/county/baldwin_county
01005,AL,USA,county,https://covidactnow.org/us/alabama-al/county/barbour_county
01007,AL,USA,county,https://covidactnow.org/us/alabama-al/county/bibb_county
01009,AL,USA,county,https://covidactnow.org/us/alabama-al/county/blount_county
01011,AL,USA,county,https://covidactnow.org/us/alabama-al/county/bullock_county
01013,AL,USA,county,https://covidactnow.org/us/alabama-al/county/butler_county
01015,AL,USA,county,https://covidactnow.org/us/alabama-al/county/calhoun_county
01017,AL,USA,county,https://covidactnow.org/us/alabama-al/county/chambers_county
01019,AL,USA,county,https://covidactnow.org/us/alabama-al/county/cherokee_county
01021,AL,USA,county,https://covidactnow.org/us/alabama-al/county/chilton_county
01023,AL,USA,county,https://covidactnow.org/us/alabama-al/county/choctaw_county
01025,AL,USA,county,https://covidactnow.org/us/alabama-al/county/clarke_county
01027,AL,USA,county,https://covidactnow.org/us/alabama-al/county/clay_county
01029,AL,USA,county,https://covidactnow.org/us/alabama-al/county/cleburne_county
01031,AL,USA,county,https://covidactnow.org/us/alabama-al/county/coffee_county
01033,AL,USA,county,https://covidactnow.org/us/alabama-al/county/colbert_county
01035,AL,USA,county,https://covidactnow.org/us/alabama-al/county/conecuh_county
01037,AL,USA,county,https://covidactnow.org/us/alabama-al/county/coosa_county
01039,AL,USA,county,https://covidactnow.org/us/alabama-al/county/covington_county
01041,AL,USA,county,https://covidactnow.org/us/alabama-al/county/crenshaw_county
01043,AL,USA,county,https://covidactnow.org/us/alabama-al/county/cullman_county
01045,AL,USA,county,https://covidactnow.org/us/alabama-al/county/dale_county
01047,AL,USA,county,https://covidactnow.org/us/alabama-al/county/dallas_county
01049,AL,USA,county,https://covidactnow.org/us/alabama-al/county/de_kalb_county
01051,AL,USA,county,https://covidactnow.org/us/alabama-al/county/elmore_county
01053,AL,USA,county,https://covidactnow.org/us/alabama-al/county/escambia_county
01055,AL,USA,county,https://covidactnow.org/us/alabama-al/county/etowah_county
01057,AL,USA,county,https://covidactnow.org/us/alabama-al/county/fayette_county
01059,AL,USA,county,https://covidactnow.org/us/alabama-al/county/franklin_county
01061,AL,USA,county,https://covidactnow.org/us/alabama-al/county/geneva_county
01063,AL,USA,county,https://covidactnow.org/us/alabama-al/county/greene_county
01065,AL,USA,county,https://covidactnow.org/us/alabama-al/county/hale_county
01067,AL,USA,county,https://covidactnow.org/us/alabama-al/county/henry_county
01069,AL,USA,county,https://covidactnow.org/us/alabama-al/county/houston_county
01071,AL,USA,county,https://covidactnow.org/us/alabama-al/county/jackson_county
01073,AL,USA,county,https://covidactnow.org/us/alabama-al/county/jefferson_county
01075,AL,USA,county,https://covidactnow.org/us/alabama-al/county/lamar_county
01077,AL,USA,county,https://covidactnow.org/us/alabama-al/county/lauderdale_county
01079,AL,USA,county,https://covidactnow.org/us/alabama-al/county/lawrence_county
01081,AL,USA,county,https://covidactnow.org/us/alabama-al/county/lee_county
01083,AL,USA,county,https://covidactnow.org/us/alabama-al/county/limestone_county
01085,AL,USA,county,https://covidactnow.org/us/alabama-al/county/lowndes_county
