location_id,variable,annotation_type,comment,date
iso1:us#cbsa:11100,negative_tests,cumulative_tail_truncated,Removed 2 values less than 1.,2020-12-13
iso1:us#cbsa:11260,positive_tests,cumulative_tail_truncated,Removed 1 values less than 3.,2020-12-14
iso1:us#cbsa:11380,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#cbsa:13300,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:20300,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:20420,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:21820,negative_tests,cumulative_tail_truncated,Removed 1 values less than 5.,2020-12-14
iso1:us#cbsa:23780,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:28420,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#cbsa:28780,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:29500,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#cbsa:29700,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#cbsa:31180,negative_tests,cumulative_tail_truncated,Removed 1 values less than 7.,2020-12-14
iso1:us#cbsa:33260,positive_tests,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-14
iso1:us#cbsa:33420,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:37420,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:37420,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:37770,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:38380,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#cbsa:38920,negative_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:39500,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:39820,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#cbsa:40080,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:41700,positive_tests,cumulative_tail_truncated,Removed 1 values less than 10.,2020-12-14
iso1:us#cbsa:43660,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#cbsa:43660,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-14
iso1:us#cbsa:45020,negative_tests,cumulative_tail_truncated,Removed 2 values less than 0.,2020-12-13
iso1:us#cbsa:49740,cases,cumulative_tail_truncated,Removed 2 values less than 2.,2020-12-14
iso1:us#iso2:us-ak#fips:02050,negative_tests,cumulative_tail_truncated,Removed 1 values less than 4.,2020-12-14
iso1:us#iso2:us-ak#fips:02090,negative_tests,cumulative_tail_truncated,Removed 1 values less than 5.,2020-12-14
iso1:us#iso2:us-ak#fips:02158,negative_tests,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-14
iso1:us#iso2:us-ak#fips:02170,negative_tests,cumulative_tail_truncated,Removed 1 values less than 5.,2020-12-14
iso1:us#iso2:us-ak#fips:02170,positive_tests,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-14
iso1:us#iso2:us-ak#fips:02180,negative_tests,cumulative_tail_truncated,Removed 2 values less than 2.,2020-12-13
iso1:us#iso2:us-ak#fips:02185,negative_tests,cumulative_tail_truncated,Removed 2 values less than 1.,2020-12-13
iso1:us#iso2:us-ak#fips:02188,negative_tests,cumulative_tail_truncated,Removed 2 values less than 1.,2020-12-13
iso1:us#iso2:us-ak#fips:02220,negative_tests,cumulative_tail_truncated,Removed 1 values less than 2.,2020-12-14
iso1:us#iso2:us-az#fips:04027,cases,cumulative_tail_truncated,Removed 2 values less than 2.,2020-12-14
iso1:us#iso2:us-ca#fips:06049,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ca#fips:06089,cases,cumulative_tail_truncated,Removed 1 values less than 1.,2020-12-15
iso1:us#iso2:us-co#fips:08067,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-fl#fips:12129,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ga#fips:13153,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-il#fips:17001,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-il#fips:17029,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-il#fips:17169,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-il#fips:17169,positive_tests,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-in#fips:18061,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ks#fips:20055,deaths,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ks#fips:20181,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
iso1:us#iso2:us-ky#fips:21055,cases,cumulative_tail_truncated,Removed 1 values less than 0.,2020-12-15
