state, county, staffed_beds, licensed_beds, icu_beds
AK,Anchorage,1077.0,1014.0,60.0
AK,Bethel,34.0,50.0,0.0
AK,Dillingham,16.0,16.0,0.0
AK,Fairbanks North Star,145.0,152.0,13.0
AK,Juneau,45.0,73.0,9.0
AK,Kenai Peninsula,76.0,77.0,6.0
AK,Ketchikan Gateway,25.0,25.0,4.0
AK,Kodiak Island,24.0,25.0,0.0
AK,Matanuska Susitna,74.0,74.0,14.0
AK,Nome,18.0,18.0,0.0
AK,North Slope,20.0,14.0,0.0
AK,Northwest Arctic,17.0,17.0,0.0
AK,Petersburg,12.0,12.0,0.0
AK,Sitka,25.0,27.0,0.0
AK,Valdez Cordova,24.0,24.0,0.0
AK,Wrangell,8.0,8.0,0.0
AL,Autauga,55.0,85.0,6.0
AL,Baldwin,362.0,410.0,44.0
AL,Barbour,30.0,74.0,5.0
AL,Bibb,25.0,35.0,0.0
AL,Blount,25.0,40.0,6.0
AL,Bullock,30.0,61.0,0.0
AL,Butler,44.0,72.0,7.0
AL,Calhoun,413.0,486.0,24.0
AL,Chambers,0.0,115.0,0.0
AL,Cherokee,45.0,60.0,0.0
AL,Chilton,26.0,30.0,6.0
AL,Choctaw,25.0,25.0,0.0
AL,Clarke,56.0,85.0,0.0
AL,Clay,46.0,53.0,4.0
AL,Coffee,99.0,131.0,7.0
AL,Colbert,300.0,363.0,22.0
AL,Conecuh,44.0,58.0,0.0
AL,Covington,128.0,187.0,13.0
AL,Crenshaw,57.0,93.0,0.0
AL,Cullman,185.0,185.0,12.0
AL,Dale,77.0,89.0,6.0
AL,Dallas,109.0,175.0,23.0
AL,De Kalb,97.0,134.0,12.0
AL,Elmore,70.0,138.0,5.0
AL,Escambia,95.0,142.0,14.0
AL,Etowah,590.0,739.0,40.0
AL,Fayette,45.0,61.0,8.0
AL,Franklin,74.0,125.0,7.0
AL,Geneva,73.0,83.0,6.0
AL,Greene,20.0,20.0,0.0
AL,Hale,28.0,39.0,0.0
AL,Houston,769.0,782.0,66.0
AL,Jackson,92.0,170.0,10.0
AL,Jefferson,3945.0,4750.0,281.0
AL,Lauderdale,233.0,358.0,36.0
AL,Lawrence,43.0,98.0,6.0
AL,Lee,372.0,314.0,20.0
AL,Limestone,97.0,102.0,10.0
AL,Macon,143.0,143.0,0.0
AL,Madison,1280.0,1241.0,58.0
AL,Marengo,37.0,99.0,5.0
AL,Marion,97.0,120.0,8.0
AL,Marshall,240.0,240.0,20.0
AL,Mobile,1490.0,1929.0,76.0
AL,Monroe,49.0,94.0,8.0
AL,Montgomery,1018.0,1226.0,58.0
AL,Morgan,320.0,393.0,23.0
AL,Pike,97.0,97.0,9.0
AL,Randolph,15.0,0.0,0.0
AL,Russell,105.0,128.0,8.0
AL,Saint Clair,40.0,40.0,6.0
AL,Shelby,246.0,286.0,32.0
AL,Sumter,33.0,33.0,0.0
AL,Talladega,207.0,285.0,14.0
AL,Tallapoosa,80.0,127.0,6.0
