fips,aggregate_level,country,state,index,cases,deaths,recovered,cumulative_icu,cumulative_hospitalized,current_icu,current_icu_total,current_hospitalized_total,current_hospitalized,current_ventilated,county,population,staffed_beds,licensed_beds,icu_beds,all_beds_occupancy_rate,icu_occupancy_rate,max_bed_count,positive_tests,negative_tests,contact_tracers_count,hospital_beds_in_use_any
02013,county,USA,AK,,2,0,0,,,,,,,,Aleutians East Borough,3337,,,,,,,2,,,
02016,county,USA,AK,,6,0,0,,,,,,,,Aleutians West Census Area,5634,0,0,0,,,0,6,,,
02020,county,USA,AK,,812,8,0,,,,,,,,Anchorage Municipality,288000,979,1149,73,0.66,0.71,1149,733,,,
02050,county,USA,AK,,18,0,0,,,,,,,,Bethel Census Area,18386,34,37,0,0.4,,37,15,,,
02060,county,USA,AK,,53,0,0,,,,,,,,Bristol Bay Borough,836,,,,,,,53,,,
02068,county,USA,AK,,1,0,0,,,,,,,,Denali Borough,2097,,,,,,,1,,,
02070,county,USA,AK,,21,0,0,,,,,,,,Dillingham Census Area,4916,18,18,0,0.15,,18,21,,,
02090,county,USA,AK,,277,2,0,,,,,,,,Fairbanks North Star Borough,96849,145,175,13,0.46,0.66,175,243,,,
02100,county,USA,AK,,6,0,0,,,,,,,,Haines Borough,2530,,,,,,,6,,,
02105,county,USA,AK,,,,0,,,,,,,,Hoonah-Angoon Census Area,2148,,,,,,,,,,
02110,county,USA,AK,,57,2,0,,,,,,,,Juneau City and Borough,31974,45,73,9,0.41,0.32,73,54,,,
02122,county,USA,AK,,225,1,0,,,,,,,,Kenai Peninsula Borough,58708,76,77,6,0.56,0.69,77,211,,,
02130,county,USA,AK,,32,0,0,,,,,,,,Ketchikan Gateway Borough,13901,25,25,4,0.42,0.31,25,32,,,
02150,county,USA,AK,,12,0,0,,,,,,,,Kodiak Island Borough,12998,24,25,0,0.22,,25,10,,,
02158,county,USA,AK,,2,0,0,,,,,,,,Kusilvak Census Area,8314,,,,,,,2,,,
02164,county,USA,AK,,3,0,0,,,,,,,,Lake and Peninsula Borough,1592,,,,,,,3,,,
