fips,hsa,hsa_name
01001,171,"Montgomery (Montgomery), AL - Autauga, AL"
01003,161,"Mobile (Mobile), AL - Baldwin, AL"
01005,162,"Houston (Dothan), AL - Dale, AL"
01007,150,"Jefferson (Birmingham), AL - Shelby, AL"
01009,150,"Jefferson (Birmingham), AL - Shelby, AL"
01011,171,"Montgomery (Montgomery), AL - Autauga, AL"
01013,259,"Butler, AL"
01015,177,"Calhoun (Anniston), AL - Carroll, GA"
01017,172,"Coweta, GA - Troup (La Grange), GA"
01019,224,"Etowah (Gadsden), AL - Marshall, AL"
01021,150,"Jefferson (Birmingham), AL - Shelby, AL"
01023,412,"Lauderdale, MS - Neshoba, MS"
01025,161,"Mobile (Mobile), AL - Baldwin, AL"
01027,241,"Talladega, AL - Clay, AL"
01029,177,"Calhoun (Anniston), AL - Carroll, GA"
01031,162,"Houston (Dothan), AL - Dale, AL"
01033,219,"Lauderdale (Florence), AL - Colbert, AL"
01035,163,"Escambia (Pensacola), FL - Okaloosa, FL"
01037,241,"Talladega, AL - Clay, AL"
01039,171,"Montgomery (Montgomery), AL - Autauga, AL"
01041,171,"Montgomery (Montgomery), AL - Autauga, AL"
01043,150,"Jefferson (Birmingham), AL - Shelby, AL"
01045,162,"Houston (Dothan), AL - Dale, AL"
01047,175,"Dallas, AL - Marengo, AL"
01049,224,"Etowah (Gadsden), AL - Marshall, AL"
01051,179,"Lee (Auburn), AL - Elmore, AL"
01053,163,"Escambia (Pensacola), FL - Okaloosa, FL"
01055,224,"Etowah (Gadsden), AL - Marshall, AL"
01057,247,"Marion, AL - Fayette, AL"
01059,219,"Lauderdale (Florence), AL - Colbert, AL"
01061,162,"Houston (Dothan), AL - Dale, AL"
01063,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL"
01065,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL"
01067,162,"Houston (Dothan), AL - Dale, AL"
01069,162,"Houston (Dothan), AL - Dale, AL"
01071,210,"Madison (Huntsville), AL - Limestone, AL"
01073,150,"Jefferson (Birmingham), AL - Shelby, AL"
01075,461,"Lowndes, MS - Clay, MS"
01077,219,"Lauderdale (Florence), AL - Colbert, AL"
01079,185,"Morgan (Decatur), AL - Lawrence, AL"
01081,179,"Lee (Auburn), AL - Elmore, AL"
01083,210,"Madison (Huntsville), AL - Limestone, AL"
01085,171,"Montgomery (Montgomery), AL - Autauga, AL"
01087,179,"Lee (Auburn), AL - Elmore, AL"
01089,210,"Madison (Huntsville), AL - Limestone, AL"
01091,175,"Dallas, AL - Marengo, AL"
01093,247,"Marion, AL - Fayette, AL"
01095,224,"Etowah (Gadsden), AL - Marshall, AL"
01097,161,"Mobile (Mobile), AL - Baldwin, AL"
01099,161,"Mobile (Mobile), AL - Baldwin, AL"
01101,171,"Montgomery (Montgomery), AL - Autauga, AL"
01103,185,"Morgan (Decatur), AL - Lawrence, AL"
01105,175,"Dallas, AL - Marengo, AL"
01107,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL"
01109,171,"Montgomery (Montgomery), AL - Autauga, AL"
01111,172,"Coweta, GA - Troup (La Grange), GA"
01113,166,"Muscogee (Columbus), GA - Russell, AL"
01115,150,"Jefferson (Birmingham), AL - Shelby, AL"
01117,150,"Jefferson (Birmingham), AL - Shelby, AL"
01119,412,"Lauderdale, MS - Neshoba, MS"
01121,241,"Talladega, AL - Clay, AL"
01123,179,"Lee (Auburn), AL - Elmore, AL"
01125,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL"
01127,150,"Jefferson (Birmingham), AL - Shelby, AL"
01129,161,"Mobile (Mobile), AL - Baldwin, AL"
01131,175,"Dallas, AL - Marengo, AL"
01133,219,"Lauderdale (Florence), AL - Colbert, AL"
02013,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02016,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02020,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02050,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02060,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
02068,819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK"
02070,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK"
