state,country,population
CA,USA,39512223
TX,USA,28995881
FL,USA,21477737
New York,USA,19453561
Pennsylvania,USA,12801989
Illinois,USA,12671821
Ohio,USA,11689100
Georgia,USA,10617423
North Carolina,USA,10488084
Michigan,USA,9986857
New Jersey,USA,8882190
Virginia,USA,8535519
Washington,USA,7614893
Arizona,USA,7278717
Massachusetts,USA,6949503
Tennessee,USA,6833174
Indiana,USA,6732219
Missouri,USA,6137428
Maryland,USA,6045680
Wisconsin,USA,5822434
Colorado,USA,5758736
Minnesota,USA,5639632
South Carolina,USA,5148714
Alabama,USA,4903185
Louisiana,USA,4648794
Kentucky,USA,4467673
Oregon,USA,4217737
Oklahoma,USA,3956971
Connecticut,USA,3565287
Utah,USA,3205958
Iowa,USA,3155070
Nevada,USA,3080156
Arkansas,USA,3017825
Mississippi,USA,2976149
Kansas,USA,2913314
New Mexico,USA,2096829
Nebraska,USA,1934408
West Virginia,USA,1792065
Idaho,USA,1787147
Hawaii,USA,1415872
New Hampshire,USA,1359711
Maine,USA,1344212
Montana,USA,1068778
Rhode Island,USA,1059361
Delaware,USA,973764
South Dakota,USA,884659
North Dakota,USA,762062
Alaska,USA,731545
District of Columbia,USA,705749
Vermont,USA,623989
Wyoming,USA,578759
