state,county,fips,population
AL,Autauga County,1001,55869.0
AL,Baldwin County,1003,223234.0
AL,Barbour County,1005,24686.0
AL,Bibb County,1007,22394.0
AL,Blount County,1009,57826.0
AL,Bullock County,1011,10101.0
AL,Butler County,1013,19448.0
AL,Calhoun County,1015,113605.0
AL,Chambers County,1017,33254.0
AL,Cherokee County,1019,26196.0
AL,Chilton County,1021,44428.0
AL,Choctaw County,1023,12589.0
AL,Clarke County,1025,23622.0
AL,Clay County,1027,13235.0
AL,Cleburne County,1029,14910.0
AL,Coffee County,1031,52342.0
AL,Colbert County,1033,55241.0
AL,Conecuh County,1035,12067.0
AL,Coosa County,1037,10663.0
AL,Covington County,1039,37049.0
AL,Crenshaw County,1041,13772.0
AL,Cullman County,1043,83768.0
AL,Dale County,1045,49172.0
AL,Dallas County,1047,37196.0
AL,DeKalb County,1049,71513.0
AL,Elmore County,1051,81209.0
AL,Escambia County,1053,36633.0
AL,Etowah County,1055,102268.0
AL,Fayette County,1057,16302.0
AL,Franklin County,1059,31362.0
AL,Geneva County,1061,26271.0
AL,Greene County,1063,8111.0
AL,Hale County,1065,14651.0
AL,Henry County,1067,17205.0
AL,Houston County,1069,105882.0
AL,Jackson County,1071,51626.0
AL,Jefferson County,1073,658573.0
AL,Lamar County,1075,13805.0
AL,Lauderdale County,1077,92729.0
AL,Lawrence County,1079,32924.0
AL,Lee County,1081,164542.0
AL,Limestone County,1083,98915.0
AL,Lowndes County,1085,9726.0
AL,Macon County,1087,18068.0
AL,Madison County,1089,372909.0
AL,Marengo County,1091,18863.0
AL,Marion County,1093,29709.0
AL,Marshall County,1095,96774.0
AL,Mobile County,1097,413210.0
AL,Monroe County,1099,20733.0
AL,Montgomery County,1101,226486.0
AL,Morgan County,1103,119679.0
AL,Perry County,1105,8923.0
AL,Pickens County,1107,19930.0
AL,Pike County,1109,33114.0
AL,Randolph County,1111,22722.0
AL,Russell County,1113,57961.0
AL,St. Clair County,1115,89512.0
AL,Shelby County,1117,217702.0
AL,Sumter County,1119,12427.0
AL,Talladega County,1121,79978.0
AL,Tallapoosa County,1123,40367.0
AL,Tuscaloosa County,1125,209355.0
AL,Walker County,1127,63521.0
AL,Washington County,1129,16326.0
AL,Wilcox County,1131,10373.0
AL,Winston County,1133,23629.0
AK,Aleutians East Borough,2013,3337.0
AK,Aleutians West Census Area,2016,5634.0
AK,Anchorage Municipality,2020,288000.0
AK,Bethel Census Area,2050,18386.0
AK,Bristol Bay Borough,2060,836.0
AK,Denali Borough,2068,2097.0
AK,Dillingham Census Area,2070,4916.0
AK,Fairbanks North Star Borough,2090,96849.0
AK,Haines Borough,2100,2530.0
AK,Hoonah-Angoon Census Area,2105,2148.0
AK,Juneau City and Borough,2110,31974.0
AK,Kenai Peninsula Borough,2122,58708.0
AK,Ketchikan Gateway Borough,2130,13901.0
AK,Kodiak Island Borough,2150,12998.0
AK,Kusilvak Census Area,2158,8314.0
AK,Lake and Peninsula Borough,2164,1592.0
AK,Matanuska-Susitna Borough,2170,108317.0
AK,Nome Census Area,2180,10004.0
AK,North Slope Borough,2185,9832.0
AK,Northwest Arctic Borough,2188,7621.0
AK,Petersburg Borough,2195,3266.0
AK,Prince of Wales-Hyder Census Area,2198,6203.0
AK,Sitka City and Borough,2220,8493.0
AK,Skagway Municipality,2230,1183.0
AK,Southeast Fairbanks Census Area,2240,6893.0
AK,Valdez-Cordova Census Area,2261,9202.0
AK,Wrangell City and Borough,2275,2502.0
AK,Yakutat City and Borough,2282,579.0
AK,Yukon-Koyukuk Census Area,2290,5230.0
AZ,Apache County,4001,71887.0
AZ,Cochise County,4003,125922.0
AZ,Coconino County,4005,143476.0
AZ,Gila County,4007,54018.0
AZ,Graham County,4009,38837.0
AZ,Greenlee County,4011,9498.0
AZ,La Paz County,4012,21108.0
AZ,Maricopa County,4013,4485414.0
AZ,Mohave County,4015,212181.0
AZ,Navajo County,4017,110924.0
AZ,Pima County,4019,1047279.0
AZ,Pinal County,4021,462789.0
AZ,Santa Cruz County,4023,46498.0
AZ,Yavapai County,4025,235099.0
AZ,Yuma County,4027,213787.0
AR,Arkansas County,5001,17486.0
AR,Ashley County,5003,19657.0
AR,Baxter County,5005,41932.0
AR,Benton County,5007,279141.0
AR,Boone County,5009,37432.0
AR,Bradley County,5011,10763.0
AR,Calhoun County,5013,5189.0
AR,Carroll County,5015,28380.0
AR,Chicot County,5017,10118.0
AR,Clark County,5019,22320.0
AR,Clay County,5021,14551.0
AR,Cleburne County,5023,24919.0
AR,Cleveland County,5025,7956.0
AR,Columbia County,5027,23457.0
AR,Conway County,5029,20846.0
AR,Craighead County,5031,110332.0
AR,Crawford County,5033,63257.0
AR,Crittenden County,5035,47955.0
AR,Cross County,5037,16419.0
AR,Dallas County,5039,7009.0
AR,Desha County,5041,11361.0
AR,Drew County,5043,18219.0
AR,Faulkner County,5045,126007.0
AR,Franklin County,5047,17715.0
AR,Fulton County,5049,12477.0
AR,Garland County,5051,99386.0
AR,Grant County,5053,18265.0
AR,Greene County,5055,45325.0
AR,Hempstead County,5057,21532.0
AR,Hot Spring County,5059,33771.0
AR,Howard County,5061,13202.0
AR,Independence County,5063,37825.0
AR,Izard County,5065,13629.0
AR,Jackson County,5067,16719.0
AR,Jefferson County,5069,66824.0
