"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2018","00","00000","United States","319,184,033","41,852,315","41,619,366","42,085,264","41,619,366 to 42,085,264","13.1","13.0","13.2","13.0 to 13.2","72,163,269","12,997,532","12,873,127","13,121,937","12,873,127 to 13,121,937","18.0","17.8","18.2","17.8 to 18.2","52,529,919","8,930,152","8,834,521","9,025,783","8,834,521 to 9,025,783","17.0","16.8","17.2","16.8 to 17.2","19,301,529","3,758,704","3,714,862","3,802,546","3,714,862 to 3,802,546","19.5","19.3","19.7","19.3 to 19.7","$61,937","$61,843","$62,031","$61,843 to $62,031"
"2018","01","01000","Alabama","4,763,811","801,758","785,668","817,848","785,668 to 817,848","16.8","16.5","17.1","16.5 to 17.1","1,069,994","255,613","247,744","263,482","247,744 to 263,482","23.9","23.2","24.6","23.2 to 24.6","781,913","178,175","171,349","185,001","171,349 to 185,001","22.8","21.9","23.7","21.9 to 23.7","284,188","73,915","69,990","77,840","69,990 to 77,840","26.0","24.6","27.4","24.6 to 27.4","$49,881","$49,123","$50,639","$49,123 to $50,639"
"2018","01","01001","Autauga County (AL)","55,073","7,587","6,334","8,840","6,334 to 8,840","13.8","11.5","16.1","11.5 to 16.1","12,987","2,509","1,965","3,053","1,965 to 3,053","19.3","15.1","23.5","15.1 to 23.5","9,677","1,891","1,469","2,313","1,469 to 2,313","19.5","15.1","23.9","15.1 to 23.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,338","$53,628","$65,048","$53,628 to $65,048"
"2018","01","01003","Baldwin County (AL)","215,255","21,069","17,390","24,748","17,390 to 24,748","9.8","8.1","11.5","8.1 to 11.5","46,265","6,442","4,723","8,161","4,723 to 8,161","13.9","10.2","17.6","10.2 to 17.6","34,508","4,534","3,223","5,845","3,223 to 5,845","13.1","9.3","16.9","9.3 to 16.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,588","$54,437","$60,739","$54,437 to $60,739"
"2018","01","01005","Barbour County (AL)","21,979","6,788","5,662","7,914","5,662 to 7,914","30.9","25.8","36.0","25.8 to 36.0","5,106","2,242","1,788","2,696","1,788 to 2,696","43.9","35.0","52.8","35.0 to 52.8","3,848","1,411","1,056","1,766","1,056 to 1,766","36.7","27.5","45.9","27.5 to 45.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,382","$31,157","$37,607","$31,157 to $37,607"
"2018","01","01007","Bibb County (AL)","20,212","4,400","3,445","5,355","3,445 to 5,355","21.8","17.1","26.5","17.1 to 26.5","4,453","1,238","923","1,553","923 to 1,553","27.8","20.7","34.9","20.7 to 34.9","3,199","840","606","1,074","606 to 1,074","26.3","19.0","33.6","19.0 to 33.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,064","$41,283","$50,845","$41,283 to $50,845"
"2018","01","01009","Blount County (AL)","57,238","7,527","6,045","9,009","6,045 to 9,009","13.2","10.6","15.8","10.6 to 15.8","13,189","2,374","1,784","2,964","1,784 to 2,964","18.0","13.5","22.5","13.5 to 22.5","9,785","1,520","1,053","1,987","1,053 to 1,987","15.5","10.7","20.3","10.7 to 20.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,412","$46,157","$54,667","$46,157 to $54,667"
"2018","01","01011","Bullock County (AL)","8,488","3,610","2,966","4,254","2,966 to 4,254","42.5","34.9","50.1","34.9 to 50.1","2,097","1,433","1,207","1,659","1,207 to 1,659","68.3","57.5","79.1","57.5 to 79.1","1,511","1,005","828","1,182","828 to 1,182","66.5","54.8","78.2","54.8 to 78.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,267","$26,064","$32,470","$26,064 to $32,470"
"2018","01","01013","Butler County (AL)","19,314","4,731","3,804","5,658","3,804 to 5,658","24.5","19.7","29.3","19.7 to 29.3","4,314","1,566","1,170","1,962","1,170 to 1,962","36.3","27.1","45.5","27.1 to 45.5","3,202","1,131","831","1,431","831 to 1,431","35.3","25.9","44.7","25.9 to 44.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,365","$34,051","$40,679","$34,051 to $40,679"
"2018","01","01015","Calhoun County (AL)","111,376","21,719","18,807","24,631","18,807 to 24,631","19.5","16.9","22.1","16.9 to 22.1","24,119","6,397","5,152","7,642","5,152 to 7,642","26.5","21.3","31.7","21.3 to 31.7","17,679","4,265","3,314","5,216","3,314 to 5,216","24.1","18.7","29.5","18.7 to 29.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,400","$41,668","$49,132","$41,668 to $49,132"
"2018","01","01017","Chambers County (AL)","33,126","6,181","4,799","7,563","4,799 to 7,563","18.7","14.5","22.9","14.5 to 22.9","6,840","2,103","1,524","2,682","1,524 to 2,682","30.7","22.2","39.2","22.2 to 39.2","4,969","1,506","1,049","1,963","1,049 to 1,963","30.3","21.1","39.5","21.1 to 39.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,917","$36,435","$43,399","$36,435 to $43,399"
"2018","01","01019","Cherokee County (AL)","25,680","4,180","3,215","5,145","3,215 to 5,145","16.3","12.5","20.1","12.5 to 20.1","4,917","1,215","856","1,574","856 to 1,574","24.7","17.4","32.0","17.4 to 32.0","3,732","830","554","1,106","554 to 1,106","22.2","14.8","29.6","14.8 to 29.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,132","$37,915","$46,349","$37,915 to $46,349"
