date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-03,251,14130,0,991,0,1858,2.2534950103,0.821715211,471,257,164,6892032,202,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-04,251,14130,0,991,0,1858,2.2481963687,0.7020012406,471,352,220,6891872,267,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-05,252,14130,0,991,0,1858,2.2353258082,0.6017936029000001,471,477,293,6891665,349,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-06,253,14130,0,991,0,1858,2.2168320492999998,0.5263032536,471,640,387,6891399,452,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-07,254,14130,0,991,0,1858,2.195457953,0.46319139140000004,472,850,506,6891060,581,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-08,255,14130,0,991,0,1858,2.1730383872,0.38883432490000003,472,1118,656,6890634,739,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-09,257,14130,0,991,0,1858,2.1524068192,0.3428286213,472,1457,843,6890103,931,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-10,259,14130,0,991,0,1858,2.1356770816,0.31879056710000003,472,1883,1073,6889447,1161,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-11,261,14130,0,991,0,1858,2.1246118791,0.28157029710000003,472,2410,1353,6888647,1434,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-12,264,14130,0,991,0,1858,2.1183910318,0.26027209030000004,473,3058,1691,6887680,1753,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-13,268,14130,0,991,0,1858,2.1155626474,0.23799456370000002,473,3847,2094,6886524,2121,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-14,273,14130,0,991,0,1858,2.1128484761,0.2156840667,474,4795,2567,6885158,2539,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-15,279,14130,0,991,0,1858,2.1151018084,0.26699511,474,5925,3118,6883554,3011,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
2020-03-16,286,14130,0,991,0,1858,2.1187515194,0.3352235615,475,7264,3757,6881668,3559,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-24
