date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-03,106,14130,0,1008,0,2013,2.2534950103,0.821715211,680,257,164,6892032,202,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-04,106,14130,0,1008,0,2013,2.2481963687,0.7020012406,680,352,221,6891872,267,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-05,107,14130,0,1008,0,2013,2.2353258082,0.6017936029000001,680,478,293,6891665,349,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-06,108,14130,0,1008,0,2013,2.2168320492999998,0.5263032536,680,640,387,6891398,452,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-07,109,14130,0,1008,0,2013,2.195457953,0.46319139140000004,680,850,506,6891060,581,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-08,110,14130,0,1008,0,2013,2.1730383872,0.38883432490000003,680,1118,656,6890634,739,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-09,112,14130,0,1008,0,2013,2.1524068192,0.3428286213,680,1458,843,6890103,930,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-10,114,14130,0,1008,0,2013,2.1356770816,0.31879056710000003,680,1883,1073,6889447,1161,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-11,116,14130,0,1008,0,2013,2.1246118791,0.28157029710000003,681,2410,1353,6888647,1433,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-12,120,14130,0,1008,0,2013,2.1183910318,0.26027209030000004,681,3058,1691,6887680,1752,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-13,124,14130,0,1008,0,2013,2.1155626474,0.23799456370000002,682,3846,2093,6886525,2120,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-14,128,14130,0,1008,0,2013,2.1128484761,0.2156840667,682,4794,2566,6885160,2537,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-15,134,14130,0,1008,0,2013,2.1151018084,0.26699511,683,5923,3116,6883558,3009,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-16,141,14130,0,1008,0,2013,2.1187515194,0.3352235615,684,7261,3755,6881673,3556,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-17,149,14130,0,1008,0,2013,2.1208498921,0.3057502999,685,8848,4501,6879414,4229,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-18,159,14130,0,1008,0,2013,2.1190579565,0.2947205818,686,10737,5384,6876706,5048,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-19,170,14130,0,1008,0,2013,2.1112309746,0.2738860261,688,12992,6434,6873466,6033,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-20,184,14130,0,1008,0,2013,2.0959632988,0.2090113921,690,15686,7689,6869596,7209,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-21,200,14130,0,1008,0,2013,2.0730376316,0.1694414407,692,18906,9188,6864973,8612,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-22,219,14130,0,1008,0,2013,2.0420673594,0.1321937666,695,22753,10979,6859450,10287,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-23,242,14130,8,1008,0,2013,2.0028006109,0.1088880844,699,27344,13114,6852865,12283,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-24,269,14130,16,1008,0,2013,1.9566523512,0.1,703,32820,15661,6845011,14659,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-25,301,14130,27,1008,3,2013,1.9049118742000002,0.1,708,39363,18700,6835635,17492,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-26,340,14130,39,1008,10,2013,1.8494813852,0.1,714,47167,22322,6824461,20863,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-27,386,14130,54,1008,19,2013,1.7922101714,0.1,722,56484,26642,6811130,24876,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-28,441,14130,71,1008,30,2013,1.7327756401,0.1,730,67564,31773,6795294,29633,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-29,506,14130,92,1008,43,2013,1.6721729963,0.1,741,80766,37877,6776449,35277,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-30,584,14130,117,1008,58,2013,1.6145370604,0.1,753,96441,45097,6754371,41678,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-03-31,675,14130,146,1008,76,2013,1.5599830016,0.1,768,114779,53393,6729406,48306,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-01,783,14130,181,1008,98,2013,1.5089837184000001,0.1,785,135859,62637,6701499,55133,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-02,907,14130,221,1008,122,2013,1.4628917045,0.1,806,159746,72715,6670715,62030,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-03,1047,14130,266,1008,150,2013,1.4213983208,0.1,831,186413,83428,6637278,68800,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-04,1204,14130,316,1008,181,2013,1.3838068309,0.1,859,215828,94670,6601342,75322,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-05,1376,14130,372,1008,216,2013,1.3495392167,0.1,893,247756,106093,6563511,81224,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-06,1561,14130,432,1008,253,2013,1.3183133051,0.1,931,281931,117435,6524262,86299,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-07,1758,14130,496,1008,293,2013,1.2898399207,0.1,975,317974,128378,6484202,90315,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-08,1962,14130,562,1008,334,2013,1.2641531843,0.1,1025,355395,138535,6444094,93001,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-09,2170,14130,631,1008,377,2013,1.2411397912,0.1,1081,393613,147544,6404697,94181,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-10,2378,14130,699,1008,420,2013,1.2201565723,0.1,1143,432017,155048,6366763,93711,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
2020-04-11,2579,14130,766,1008,462,2013,1.2012589833,0.1,1210,469905,160703,6331012,91574,US,Massachusetts,,STRONG_INTERVENTION,25,,,2020-07-28
