date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativePositiveTests,cumulativeNegativeTests,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-08,0,1610,0,45,0,118,nan,nan,0,0,0,14,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-09,0,1610,0,45,0,118,nan,nan,0,9,0,23,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-10,0,1610,0,45,0,118,nan,nan,0,21,0,23,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-11,0,1610,0,45,0,118,nan,nan,0,35,0,46,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-12,0,1610,0,45,0,118,nan,nan,0,54,0,46,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-13,0,1610,0,45,0,118,1.5,4.0,0,77,1,59,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-14,0,1610,0,45,0,118,1.48,3.32,0,107,1,143,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-15,0,1610,0,45,0,118,1.74,3.2,0,144,1,143,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-16,0,1610,0,45,0,118,1.6600000000000001,2.6399999999999997,0,192,1,143,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-17,0,1610,0,45,0,118,1.8399999999999999,2.38,0,252,3,334,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-18,0,1610,0,45,0,118,1.72,2.0600000000000005,0,329,6,406,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-19,0,1610,0,45,0,118,1.8399999999999999,1.8400000000000003,0,425,6,432,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-20,0,1610,0,45,0,118,1.88,1.6600000000000001,0,548,12,686,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-21,0,1610,0,45,0,118,1.9,1.48,0,702,14,758,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-22,1,1610,0,45,0,118,1.88,1.3400000000000003,0,890,22,946,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-23,1,1610,0,45,0,118,1.8599999999999999,1.2000000000000002,0,1118,22,946,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-24,1,1610,0,45,0,118,1.74,1.0999999999999999,0,1387,36,986,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-25,2,1610,0,45,0,118,1.72,1.0200000000000002,1,1699,42,1649,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-26,2,1610,0,45,0,118,1.7000000000000002,0.96,1,2055,59,1801,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-27,3,1610,1,45,0,118,1.62,0.8999999999999999,1,2453,69,2319,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-28,4,1610,1,45,0,118,1.6,0.8399999999999999,1,2890,85,2836,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-29,4,1610,1,45,0,118,1.54,0.7999999999999998,2,3356,102,3232,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-30,5,1610,1,45,1,118,1.5,0.7599999999999998,2,3850,114,3540,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-03-31,6,1610,2,45,1,118,1.5,0.7200000000000002,3,4353,119,3594,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-01,7,1610,2,45,1,118,1.44,0.7000000000000002,4,4854,133,4470,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-02,7,1610,2,45,1,118,1.42,0.6600000000000001,5,5339,143,4879,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-03,8,1610,2,45,1,118,1.38,0.6600000000000001,5,5796,157,5859,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-04,9,1610,2,45,1,118,1.3599999999999999,0.6200000000000001,6,6216,171,5869,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-05,9,1610,3,45,1,118,1.34,0.5999999999999999,7,6609,185,6099,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-06,10,1610,3,45,2,118,nan,nan,8,6984,191,6692,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-07,10,1610,3,45,2,118,1.32,0.5999999999999999,10,7343,213,6700,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
2020-04-08,10,1610,3,45,2,118,1.3,0.5799999999999998,11,7690,226,6842,US,Alaska,,NO_INTERVENTION,02,61.14998174,-149.14269860000005,2020-06-03
