forecast_date,location,location_name,target,target_end_date,type,quantile,value
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.010,827.0
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.025,827.0
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.050,827.0
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.100,827.0
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.150,833.6978982695053
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.200,850.8203986488548
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.250,865.5099793579938
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.300,878.7016768353783
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.350,890.9257505041027
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.400,902.5252010209517
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.450,913.7478036353504
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.500,924.7924761252409
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.550,935.8371486151315
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.600,947.0597512295302
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.650,958.6592017463792
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.700,970.8832754151035
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.750,984.0749728924881
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.800,998.764553601627
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.850,1015.8870539809765
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.900,1037.4310692534123
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.950,1069.362545268616
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.975,1097.0583386437422
2020-05-30,04,Arizona,1 day ahead cum death,2020-05-31,quantile,0.990,1129.2606838070121
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.010,827.0
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.025,827.0
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.050,827.0
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.100,827.0
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.150,847.897196917035
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.200,867.0407343135307
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.250,883.4641848268328
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.300,898.2129509758549
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.350,911.8798808184714
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.400,924.8484607471312
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.450,937.3957119122623
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.500,949.7440311505709
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.550,962.0923503888795
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.600,974.6396015540106
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.650,987.6081814826704
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.700,1001.2751113252868
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.750,1016.023877474309
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.800,1032.447327987611
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.850,1051.5908653841068
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.900,1075.6778067128369
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.950,1111.378282208787
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.975,1142.343120547572
2020-05-30,04,Arizona,2 day ahead cum death,2020-06-01,quantile,0.990,1178.3464369575634
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.010,827.0
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.025,827.0
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.050,827.0
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.100,836.9396889890559
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.150,863.3256112031535
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.200,884.2963057281622
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.250,902.287294364573
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.300,918.443758194949
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.350,933.4151297282322
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.400,947.6214972597035
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.450,961.366322255354
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.500,974.8932282435474
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.550,988.4201342317407
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.600,1002.1649592273913
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.650,1016.3713267588626
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.700,1031.3426982921458
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.750,1047.4991621225217
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.800,1065.4901507589325
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.850,1086.4608452839414
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.900,1112.846767498039
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.950,1151.9546789836236
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.975,1185.8749598789304
2020-05-30,04,Arizona,3 day ahead cum death,2020-06-02,quantile,0.990,1225.314616964427
2020-05-30,04,Arizona,4 day ahead cum death,2020-06-03,quantile,0.010,827.0
2020-05-30,04,Arizona,4 day ahead cum death,2020-06-03,quantile,0.025,827.0
