forecast_date,location,target,type,target_end_date,quantile,value
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.010,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.025,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.050,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.100,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.150,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.200,81.0
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.250,82.48141993322986
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.300,83.90261033920657
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.350,85.21955505005421
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.400,86.46920679634457
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.450,87.67825932298231
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.500,88.868142778595
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.550,90.05802623420769
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.600,91.26707876084544
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.650,92.51673050713579
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.700,93.83367521798343
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.750,95.25486562396014
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.800,96.83742853577944
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.850,98.68209889053722
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.900,101.0031154135353
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.950,104.44321153757718
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.975,107.4269818899615
2020-06-21,46,1 day ahead cum death,quantile,2020-06-22,0.990,110.89625975010414
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.010,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.025,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.050,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.100,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.150,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.200,81.0
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.250,82.29842884879444
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.300,84.33714117248795
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.350,86.22631196926297
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.400,88.01895031298744
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.450,89.75334865657543
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.500,91.4602487696883
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.550,93.16714888280119
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.600,94.90154722638917
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.650,96.69418557011365
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.700,98.58335636688867
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.750,100.62206869058218
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.800,102.8922715415006
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.850,105.53847022788433
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.900,108.86799241508234
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.950,113.80284585434016
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.975,118.08309525856872
2020-06-21,46,2 day ahead cum death,quantile,2020-06-23,0.990,123.05981019982178
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.010,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.025,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.050,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.100,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.150,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.200,81.0
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.250,82.66998053210008
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.300,85.20164847847293
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.350,87.54761612473415
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.400,89.77371000835973
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.450,91.9274816031421
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.500,94.04710596299256
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.550,96.16673032284302
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.600,98.32050191762539
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.650,100.54659580125097
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.700,102.89256344751219
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.750,105.42423139388504
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.800,108.24336370727684
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.850,111.5294067238387
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.900,115.66399918207985
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.950,121.79208803847266
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.975,127.10729121512057
2020-06-21,46,3 day ahead cum death,quantile,2020-06-24,0.990,133.28736358167157
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.010,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.025,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.050,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.100,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.150,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.200,81.0
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.250,83.31368752445265
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.300,86.27652178672989
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.350,89.02202928130279
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.400,91.62724740988921
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.450,94.14782609924033
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.500,96.62844196575631
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.550,99.10905783227228
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.600,101.62963652162342
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.650,104.23485465020984
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.700,106.98036214478273
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.750,109.94319640705999
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.800,113.24245285969906
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.850,117.08813919891082
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.900,121.92689074742287
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.950,129.09864944982817
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.975,135.3190805712553
2020-06-21,46,4 day ahead cum death,quantile,2020-06-25,0.990,142.55167605329865
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.010,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.025,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.050,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.100,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.150,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.200,81.0
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.250,84.12214439238227
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.300,87.47819519046305
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.350,90.58807640643639
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.400,93.53904956444791
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.450,96.39415024615818
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.500,99.20398438522815
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.550,102.01381852429815
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.600,104.86891920600841
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.650,107.81989236401992
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.700,110.92977357999325
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.750,114.28582437807405
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.800,118.02294609018841
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.850,122.37901786652874
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.900,127.85995083765523
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.950,135.98351914631616
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.975,143.02950315401654
2020-06-21,46,5 day ahead cum death,quantile,2020-06-26,0.990,151.221982277385
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.010,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.025,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.050,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.100,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.150,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.200,81.0
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.250,85.04121747581996
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.300,88.76452038081077
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.350,92.21471540534122
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.400,95.48861308831354
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.450,98.65614698509849
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.500,101.77346082865662
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.550,104.89077467221476
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.600,108.0583085689997
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.650,111.33220625197204
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.700,114.78240127650248
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.750,118.5057041814933
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.800,122.65177853024177
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.850,127.48453455064272
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.900,133.56524514808817
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.950,142.57777424920468
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.975,150.3947991701004
2020-06-21,46,6 day ahead cum death,quantile,2020-06-27,0.990,159.48377998545573
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.010,81.0
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.025,81.0
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.050,81.0
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.100,81.0
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.150,81.0
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.200,81.50540076348668
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.250,86.03928353659185
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.300,90.1108503923782
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.350,93.88376386902479
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.400,97.46388980434908
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.450,100.92770307923524
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.500,104.33659890329031
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.550,107.74549472734539
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.600,111.20930800223155
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.650,114.78943393755584
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.700,118.56234741420242
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.750,122.63391426998878
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.800,127.16779704309394
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.850,132.4525911457685
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.900,139.10206887023767
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.950,148.95759653244556
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.975,157.50579698535867
2020-06-21,46,7 day ahead cum death,quantile,2020-06-28,0.990,167.44492737173536
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.010,81.0
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.025,81.0
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.050,81.0
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.100,81.0
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.150,81.0
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.200,82.19056192517229
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.250,87.09606578903491
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.300,91.50135986975411
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.350,95.5835213555998
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.400,99.45709341022528
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.450,103.20481920155963
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.500,106.89312621637785
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.550,110.58143323119609
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.600,114.32915902253042
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.650,118.20273107715592
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.700,122.28489256300159
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.750,126.6901866437208
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.800,131.5956905075834
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.850,137.31365437823578
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.900,144.50815858190572
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.950,155.17149758885017
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.975,164.42035391120237
2020-06-21,46,8 day ahead cum death,quantile,2020-06-29,0.990,175.1741481652194
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.010,81.0
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.025,81.0
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.050,81.0
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.100,81.0
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.150,81.0
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.200,82.93038252286753
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.250,88.1946087676994
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.300,92.92204663331026
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.350,97.30272234487924
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.400,101.45955520794635
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.450,105.4813391095986
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.500,109.43935914693586
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.550,113.39737918427312
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.600,117.41916308592536
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.650,121.57599594899249
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.700,125.95667166056145
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.750,130.68410952617234
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.800,135.9483357710042
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.850,142.0844343880354
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.900,149.80504758059962
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.950,161.24815936192357
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.975,171.17335227543364
2020-06-21,46,9 day ahead cum death,quantile,2020-06-30,0.990,182.7135339804264
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.010,81.0
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.025,81.0
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.050,81.0
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.100,81.0
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.150,81.0
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.200,83.71338476375583
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.250,89.32584847731239
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.300,94.36601435256945
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.350,99.03647917086579
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.400,103.46829355767862
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.450,107.75612526589009
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.500,111.9759750223275
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.550,116.19582477876492
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.600,120.4836564869764
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.650,124.91547087378923
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.700,129.58593569208557
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.750,134.62610156734263
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.800,140.2385652808992
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.850,146.78057719854846
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.900,155.011922010564
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.950,167.2120149883124
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.975,177.7937761981031
2020-06-21,46,10 day ahead cum death,quantile,2020-07-01,0.990,190.09736043913145
2020-06-21,46,11 day ahead cum death,quantile,2020-07-02,0.010,81.0
2020-06-21,46,11 day ahead cum death,quantile,2020-07-02,0.025,81.0
