fips,R0,t0,eps,t_break,eps2,t_delta_phases,test_fraction,hosp_fraction,log10_I_initial,chi2_total,snapshot
01,3.62,60.65,0.3,20.55,0.37,55.98,0.1,1.0,0.91,193.07,806
01001,3.58,79.02,0.27,5.01,0.35,14.12,0.08,1.0,0.91,81.96,790
01003,3.6,85.56,0.26,5.02,0.41,37.96,0.11,1.0,0.98,43.87,790
01005,3.4,91.48,0.45,5.0,1.14,68.05,0.03,1.0,0.66,68.8,806
01007,3.26,87.11,0.23,5.02,0.38,14.3,0.15,1.0,0.75,42.62,790
01009,3.38,93.35,0.25,5.0,0.44,16.16,0.04,1.0,0.95,51.0,790
01011,3.45,127.26,0.3,5.0,0.47,39.78,0.12,1.0,1.16,56.83,806
01013,3.56,105.88,0.31,5.0,0.37,23.1,0.1,1.0,1.19,94.08,806
01015,3.54,81.01,0.25,5.04,0.47,51.82,0.08,1.0,1.08,41.59,790
01017,3.43,78.01,0.26,5.0,0.42,32.5,0.07,1.0,1.46,77.35,790
01019,3.4,87.8,0.32,5.07,0.51,45.23,0.02,1.0,0.87,45.14,790
01021,3.42,84.18,0.25,5.0,0.43,33.14,0.07,1.0,0.85,28.39,790
01023,4.48,100.88,0.3,5.0,0.85,49.49,0.03,1.0,0.9,26.68,807
01025,3.57,89.03,0.33,5.03,0.35,72.8,0.13,1.0,0.34,66.31,790
01027,3.0,87.61,0.23,5.0,0.54,29.54,0.07,1.0,0.99,29.61,790
01029,3.23,84.87,0.24,5.08,0.43,32.85,0.11,1.0,0.8,23.7,790
01031,3.8,88.0,0.28,5.01,0.38,59.19,0.08,1.0,0.93,61.23,790
01033,4.38,84.0,0.32,5.01,0.95,74.92,0.02,1.0,0.6,43.71,806
01035,2.57,93.35,0.35,5.0,0.54,14.01,0.12,1.0,1.07,68.3,790
01037,3.62,84.17,0.27,6.05,0.45,65.93,0.1,1.0,0.45,19.02,806
01039,3.58,88.0,0.26,5.0,0.37,14.23,0.1,1.0,0.59,65.67,790
01041,3.62,112.51,0.28,5.0,0.54,48.42,0.1,1.0,0.73,32.49,806
01043,3.56,80.48,0.26,5.03,0.36,20.35,0.09,1.0,0.79,74.2,790
01045,3.52,112.25,0.28,5.0,0.39,18.45,0.07,1.0,1.02,51.31,806
01047,3.55,108.09,0.35,5.0,0.39,14.29,0.07,1.0,1.02,112.36,806
01049,3.76,93.35,0.29,5.0,0.44,38.8,0.04,1.0,1.2,53.98,790
01051,3.8,81.29,0.34,5.0,0.39,72.03,0.05,1.0,0.75,77.07,806
01053,3.46,93.35,0.26,5.0,0.43,19.29,0.07,1.0,0.63,80.35,790
01055,3.6,81.55,0.26,5.07,0.41,41.99,0.08,1.0,1.06,73.54,790
01057,3.16,98.28,0.3,5.0,0.4,15.79,0.11,1.0,0.54,41.67,806
