OBJECTID,Last Update,32d-HSPTLZD,16d-HSPTLZD,Province/State,Intervention,Deaths,State/County FIPS Code,16d-LACKBEDS,32d-LACKBEDS,Recovered,County,Longitude,Combined Key,Confirmed,Latitude,Country/Region,Active,4d-HSPTLZD,8d-HSPTLZD
0,4/1/2020 21:58,76424,10126,Alabama,social_distancing,27,01,0,63839,0,<Null>,-86.64408227,Alabama,1060,32.53952745,US,0,<Null>,<Null>
1,4/1/2020 21:58,9499,842,Alaska,shelter_in_place,3,02,0,8167,0,<Null>,-149.14269860000005,Alaska,132,61.14998174,US,0,<Null>,<Null>
2,4/1/2020 21:58,104504,11106,Arizona,shelter_in_place,29,04,0,93053,0,<Null>,-109.3783,Arizona,1530,35.5313,US,0,<Null>,<Null>
3,4/1/2020 21:58,37215,3069,Arkansas,social_distancing,10,05,0,29220,0,<Null>,-91.37277296,Arkansas,584,34.29145151,US,0,<Null>,<Null>
4,4/1/2020 21:58,592266,69777,California,shelter_in_place,199,06,10888,533377,0,<Null>,-121.8929271,California,9399,37.64629437,US,0,<Null>,<Null>
5,4/1/2020 21:58,97779,22596,Colorado,shelter_in_place,69,08,13537,88720,0,<Null>,-104.3362578,Colorado,2982,39.87432092,US,0,<Null>,<Null>
6,4/1/2020 21:58,59754,21301,Connecticut,shelter_in_place,85,09,15397,53850,0,<Null>,-73.3881171,Connecticut,3557,41.26809896,US,0,<Null>,<Null>
7,4/1/2020 21:58,14727,1775,Delaware,shelter_in_place,11,10,2,12954,0,<Null>,-75.56884914,Delaware,368,39.08646628,US,0,<Null>,<Null>
8,4/1/2020 21:58,349825,55553,Florida,shelter_in_place,87,12,9316,303588,0,<Null>,-82.35928158,Florida,6956,29.67866525,US,0,<Null>,<Null>
9,4/1/2020 21:58,176185,31301,Georgia,shelter_in_place,139,13,10202,155086,0,<Null>,-82.28909114,Georgia,4638,31.74847232,US,0,<Null>,<Null>
10,4/1/2020 21:58,19136,1810,Hawaii,shelter_in_place,1,15,0,16909,0,<Null>,-155.5210167,Hawaii,224,19.60121157,US,0,<Null>,<Null>
